Material,Su,Sy,E,G,mu,Ro,Use
ANSI Steel SAE 9310 normalized,907,571,207000,79000,0.3,7860,False
ANSI Steel SAE 9310 annealed,820,440,207000,79000,0.3,7860,False
ANSI Steel SAE 30201 annealed,793,379,193000,161000,0.3,8030,False
ANSI Steel SAE 30201 14hard,862,517,193000,161000,0.3,8030,False
ANSI Steel SAE 30201 12hard,1034,758,193000,161000,0.3,8030,False
ANSI Steel SAE 30201 34hard,1207,931,193000,161000,0.3,8030,False
ANSI Steel SAE 30201 Fullhard,1276,965,193000,161000,0.3,8030,False
ANSI Steel SAE 30202 annealed,724,379,193000,161000,0.3,8030,False
ANSI Steel SAE 30202 14hard,862,517,193000,161000,0.3,8030,False
ANSI Steel SAE 30301 annealed,758,276,193000,161000,0.3,8030,False
ANSI Steel SAE 30301 14hard,862,517,193000,161000,0.3,8030,False
ANSI Steel SAE 30301 12hard,1034,758,193000,161000,0.3,8030,False
ANSI Steel SAE 30301 34hard,1207,931,193000,161000,0.3,8030,False
ANSI Steel SAE 30301 Fullhard,1276,965,193000,161000,0.3,8030,False
ANSI Steel SAE 30302 annealed,621,255,193000,161000,0.3,8030,False
ANSI Steel SAE 30302 14hard,862,517,193000,161000,0.3,8030,False
ANSI Steel SAE 30302B annealed,655,276,193000,161000,0.3,8030,False
ANSI Steel SAE 30303 annealed,621,241,193000,161000,0.3,8030,False
ANSI Steel SAE 30304 annealed,586,241,193000,161000,0.3,8030,False
ANSI Steel SAE 30304L annealed,552,207,193000,161000,0.3,8030,False
ANSI Steel SAE 30305 annealed,586,255,193000,161000,0.3,8030,False
ANSI Steel SAE 30308 annealed,586,241,193000,161000,0.3,8030,False
ANSI Steel SAE 30309 annealed,621,276,193000,161000,0.3,8030,False
ANSI Steel SAE 30310 annealed,655,276,193000,161000,0.3,8030,False
ANSI Steel SAE 30314 annealed,689,345,193000,161000,0.3,8030,False
ANSI Steel SAE 30316 annealed,586,241,193000,161000,0.3,8030,False
ANSI Steel SAE 30316L annealed,538,207,193000,161000,0.3,8030,False
ANSI Steel SAE 30317 annealed,621,276,193000,161000,0.3,8030,False
ANSI Steel SAE 30321 annealed,600,241,193000,161000,0.3,8030,False
ANSI Steel SAE 30347 annealed,634,241,193000,161000,0.3,8030,False
ANSI Steel SAE 30348 annealed,634,241,193000,161000,0.3,8030,False
ANSI Steel SAE 51403 annealed,517,276,200000,161000,0.3,8030,False
ANSI Steel SAE 51403 tempered at 400 F,1310,1000,200000,161000,0.3,8030,False
ANSI Steel SAE 51405 annealed,483,276,200000,161000,0.3,8030,False
ANSI Steel SAE 51410 annealed,517,276,200000,161000,0.3,8030,False
ANSI Steel SAE 51410 tempered at 400 F,1310,1000,200000,161000,0.3,8030,False
ANSI Steel SAE 51414 annealed,827,655,200000,161000,0.3,8030,False
ANSI Steel SAE 51414 tempered at 400 F,1379,1034,200000,161000,0.3,8030,False
ANSI Steel SAE 51416 annealed,517,276,200000,161000,0.3,8030,False
ANSI Steel SAE 51416 tempered at 400 F,1310,1000,200000,161000,0.3,8030,False
ANSI Steel SAE 51420 annealed,655,345,200000,161000,0.3,8030,False
ANSI Steel SAE 51420 tempered at 600 F,1535,1069,200000,161000,0.3,8030,False
ANSI Steel SAE 51430 annealed,517,310,200000,161000,0.3,8030,False
ANSI Steel SAE 51430F annealed,552,379,200000,161000,0.3,8030,False
ANSI Steel SAE 51431 annealed,862,655,200000,161000,0.3,8030,False
ANSI Steel SAE 51431 tempered at 400 F,1413,1069,200000,161000,0.3,8030,False
ANSI Steel SAE 51440A annealed,724,414,200000,161000,0.3,8030,False
ANSI Steel SAE 51440A tempered at 600 F,1535,1069,200000,161000,0.3,8030,False
ANSI Steel SAE 51440C annealed,758,448,200000,161000,0.3,8030,False
ANSI Steel SAE 51440C tempered at 600 F,1535,1069,200000,161000,0.3,8030,False
ANSI Steel SAE 51446 annealed,552,345,200000,161000,0.3,8030,False
ANSI Steel SAE 51501 annealed,483,207,200000,161000,0.3,8030,False
ANSI Steel SAE 51502 annealed,483,207,200000,161000,0.3,8030,False
ANSI Leaded Muntz metal C36500 As hot rolled,372,138,105000,40000,0.32,8800,False
ANSI Architectural bronze C38500 As extruded,414,138,105000,40000,0.32,8800,False
ANSI Copper Alloy C62500 As extruded,689,379,105000,40000,0.32,8800,False
ANSI Aluminum Alloy 2010 Cast T7,414,345,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2040 Cast T4,310,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2080 Cast F,131,83,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2420 Cast T61,221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2420 Cast T77,165,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2950 Cast T4,200,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2950 Cast T6,221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2950 Cast T62,248,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2950 Cast T7,200,110,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3190 Cast F,159,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3190 Cast T6,214,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3280 Cast F,172,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3280 Cast T6,234,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3550 Cast T51,172,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3550 Cast T6,221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3550 Cast T71,207,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy C3550 Cast T6,248,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3560 Cast T51,159,110,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3560 Cast T6,207,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3560 Cast T7,214,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3560 Cast T71,172,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy A3560 Cast T6,234,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 4430 Cast F,117,48,73000,26000,0.33,2700,False
ANSI Aluminum Alloy B4430 Cast F,117,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5120 Cast F,117,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5140 Cast F,152,62,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5200 Cast T4,290,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5350 Cast F or T5,241,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7050 Cast F or T5,207,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7070 Cast T5,228,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7070 Cast T7,255,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7100 Cast F or T5,221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7120 Cast F or T5,234,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7130 Cast F or T5,221,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7710 Cast T5,290,262,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7710 Cast T51,221,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7710 Cast T52,248,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7710 Cast T53,248,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7710 Cast T6,290,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 7710 Cast T71,331,310,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 8520 Cast T5,165,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060O Wrought,69,28,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060H12 Wrought,83,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060H14 Wrought,97,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060H16 Wrought,110,103,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1060H18 Wrought,131,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100O Wrought,90,34,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100H12 Wrought,110,103,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100H14 Wrought,124,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100H16 Wrought,145,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1100H18 Wrought,165,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350O Wrought,83,28,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350H12 Wrought,97,83,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350H14 Wrought,110,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350H16 Wrought,124,110,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 1350H19 Wrought,186,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2011T3 Wrought,379,296,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2011T8 Wrought,407,310,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014O Wrought,186,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014T4 Wrought,427,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014T451 Wrought,427,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014T6 Wrought,483,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2014T651 Wrought,483,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014O Wrought,172,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014T3 Wrought,434,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014T4 Wrought,421,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014T451 Wrought,421,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014T6 Wrought,469,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2014T651 Wrought,469,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2017O Wrought,179,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2017T4 Wrought,427,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2017T451 Wrought,427,276,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2018T61 Wrought,421,317,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024O Wrought,186,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024T3 Wrought,483,345,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024T351 Wrought,469,324,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024T4 Wrought,469,324,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2024T361 Wrought,496,393,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024O Wrought,179,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024T3 Wrought,448,310,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024T351 Wrought,441,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024T4 Wrought,441,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 202024T361 Wrought,462,365,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024T81 Wrought,448,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024T851 Wrought,448,414,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 2024T861 Wrought,483,455,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2025T6 Wrought,400,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2036T4 Wrought,338,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2117T4 Wrought,296,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2218T72 Wrought,331,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219O Wrought,172,76,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T42 Wrought,359,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T31 Wrought,359,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T351 Wrought,359,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T37 Wrought,393,317,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T62 Wrought,414,290,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T81 Wrought,455,352,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T851 Wrought,455,352,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 2219T87 Wrought,476,393,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003O Wrought,110,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003H12 Wrought,131,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003H14 Wrought,152,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003H16 Wrought,179,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3003H18 Wrought,200,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003O Wrought,110,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003H12 Wrought,131,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003H14 Wrought,152,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003H16 Wrought,179,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3003H18 Wrought,200,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004O Wrought,179,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004H32 Wrought,214,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004H34 Wrought,241,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004H36 Wrought,262,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3004H38 Wrought,283,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004O Wrought,179,69,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004H32 Wrought,214,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004H34 Wrought,241,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004H36 Wrought,262,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy Alclad 3004H38 Wrought,283,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105O Wrought,117,55,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105H12 Wrought,152,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105H14 Wrought,172,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105H16 Wrought,193,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105H18 Wrought,214,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 3105H25 Wrought,179,159,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 4032T6 Wrought,379,317,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005O Wrought,124,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H12 Wrought,138,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H14 Wrought,159,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H16 Wrought,179,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H18 Wrought,200,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H32 Wrought,138,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H34 Wrought,159,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H36 Wrought,179,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5005H38 Wrought,200,186,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050O Wrought,145,55,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050H32 Wrought,172,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050H34 Wrought,193,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050H36 Wrought,207,179,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5050H38 Wrought,221,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052O Wrought,193,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052H32 Wrought,228,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052H34 Wrought,262,214,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052H36 Wrought,276,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5052H38 Wrought,290,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5056O Wrought,290,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5056H18 Wrought,434,407,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5056H38 Wrought,414,345,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5083O Wrought,290,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5083H116 Wrought,317,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5083H321 Wrought,317,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086O Wrought,262,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086H32 Wrought,290,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086H34 Wrought,324,255,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086H112 Wrought,269,131,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5086H116 Wrought,290,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154O Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154H32 Wrought,269,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154H34 Wrought,290,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154H36 Wrought,310,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154H38 Wrought,331,269,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5154H112 Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5252H25 Wrought,234,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5252H28 Wrought,283,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5252H38 Wrought,283,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254O Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254H32 Wrought,269,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254H34 Wrought,290,228,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254H36 Wrought,310,248,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254H38 Wrought,331,269,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5254H112 Wrought,241,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454O Wrought,248,117,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454H32 Wrought,276,207,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454H34 Wrought,303,241,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454H111 Wrought,262,179,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5454H112 Wrought,248,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 5456O Wrought,310,159,73000,26000,0.33,2700,False
